Device ID,Device Type,Installation Date,Location ID,City,Region,Latitude,Longitude,Traffic Volume,Air Quality Index (AQI),Noise Level,Energy Consumption (kWh),Water Usage (liters),Temperature (°C),Humidity (%),Device Status,Maintenance Date,Power Outage Hours (per month),Incident Reports,Public WiFi Users,Connectivity Uptime (%),Smart Parking Spots,Road Quality Index,Device Manufacturer,Firmware Version,Energy Rate (per kWh),Water Rate (per liter),Operating Cost (per hour),Advertising Revenue (from WiFi),Maintenance Cost,Device Usage Hours,Date,Time
D0725,Traffic Light,2020-07-27,L0420,Seattle,Capitol Hill,-54.453116,126.349941,844,108,64 dB,16.49,4950,-9.7,90,Under Maintenance,2023-12-21,13,6,234,96.12,30,17,GreenTech,v1.1,0.27,0.0032,31.59,0,463.47,1484,2024-01-09,16:25:59
D0726,Traffic Light,2022-12-09,L0328,San Francisco,Financial District,25.161786,-159.434262,113,108,90 dB,12.42,4950,39.3,95,Inactive,2023-03-03,8,5,234,93.34,30,0,SmartIoT,v2.1,0.24,0.0026,17.77,0,0,1660,2024-08-09,19:47:01
D0727,Pollution Sensor,2021-06-20,L0395,San Francisco,Financial District,-14.36137,136.512495,981,24,78 dB,6.24,4950,14.7,51,Active,2023-03-03,44,2,234,95.87,30,63,UrbanTech,v2.1,0.49,0.0018,21.03,0,0,1238,2024-03-14,13:44:25
D0728,Smart Meter,2023-06-23,L0708,New York,Brooklyn,-78.881784,-131.5615,981,76,93 dB,44.97,4939,10.1,40,Active,2023-03-03,19,5,234,97.15,30,63,UrbanTech,v2.0,0.4,0.0012,44.38,0,0,1130,2024-11-02,05:01:00
D0729,Public WiFi,2021-09-03,L0728,Chicago,Lincoln Park,-83.031254,-17.871284,981,108,54 dB,33.72,4950,4.3,71,Under Maintenance,2023-09-20,5,0,409,98.6,30,63,DeviceCorp,v2.0,0.23,0.0048,18.49,931.84,193.48,998,2024-02-17,12:37:30
D0730,Smart Meter,2021-09-19,L0574,Seattle,Pioneer Square,-50.537335,-45.572024,981,297,57 dB,10.1,9959,5.8,69,Inactive,2023-03-03,39,8,234,91.7,30,63,UrbanTech,v1.0,0.23,0.008,39.54,0,0,1807,2024-05-21,19:08:16
D0731,Public WiFi,2020-02-05,L0251,Los Angeles,Hollywood,72.759835,32.402971,981,108,54 dB,8.56,4950,5.9,96,Active,2023-03-03,22,5,314,96.91,30,63,DeviceCorp,v2.0,0.18,0.0099,20.53,123.79,0,409,2024-03-31,08:40:37
D0732,Parking Sensor,2020-09-16,L0922,Chicago,Lincoln Park,22.208693,-23.209407,981,108,68 dB,19.57,4950,18.8,40,Under Maintenance,2024-11-13,21,0,234,99.32,15,63,GreenTech,v2.0,0.23,0.0025,34.83,0,146.67,1960,2024-05-26,11:56:59
D0733,Parking Sensor,2020-02-12,L0476,Los Angeles,Hollywood,-78.471695,-27.736744,981,108,74 dB,47.06,4950,16,66,Active,2023-03-03,42,9,234,98.83,36,63,GreenTech,v1.1,0.14,0.0039,14.17,0,0,690,2024-09-29,18:10:23
D0734,Traffic Light,2022-04-02,L0036,Miami,Brickell,80.873885,-65.839862,1443,108,80 dB,47.91,4950,27.9,89,Active,2023-03-03,24,10,234,91.23,30,53,SmartIoT,v1.0,0.24,0.0085,33.95,0,0,1485,2024-05-29,17:09:27
D0735,Pollution Sensor,2024-11-25,L0951,Los Angeles,Hollywood,-11.91895,-44.083905,981,58,68 dB,25.45,4950,39,59,Under Maintenance,2023-09-20,39,2,234,94.67,30,63,SmartIoT,v2.1,0.33,0.0016,13.05,0,419.23,1815,2024-03-04,23:03:29
D0736,Pollution Sensor,2023-04-29,L0317,Seattle,Capitol Hill,13.800646,-93.61088,981,120,92 dB,8.01,4950,1.2,22,Under Maintenance,2024-04-03,18,9,234,95.75,30,63,DeviceCorp,v2.0,0.16,0.0015,40.78,0,206.88,1798,2024-05-21,10:23:58
D0737,Pollution Sensor,2021-01-24,L0580,Chicago,Lincoln Park,47.892421,-56.319359,981,213,69 dB,47.86,4950,-6.7,22,Inactive,2023-03-03,34,0,234,96.36,30,63,GreenTech,v2.1,0.35,0.0041,20.76,0,0,821,2024-02-09,04:49:36
D0738,Smart Meter,2022-09-28,L0016,Chicago,The Loop,89.148755,-120.451813,981,170,61 dB,25.85,8007,33.2,60,Active,2023-03-03,18,2,234,95.11,30,63,GreenTech,v2.1,0.11,0.005,30.56,0,0,558,2024-06-10,08:13:53
D0739,Parking Sensor,2020-12-02,L0011,Houston,Midtown,-11.340156,-123.115844,981,108,68 dB,11.57,4950,25.1,54,Inactive,2023-03-03,48,3,234,95.41,47,63,GreenTech,v1.1,0.27,0.0094,23.06,0,0,1065,2024-01-21,13:48:43
D0740,Traffic Light,2020-10-24,L0480,San Francisco,Financial District,-60.699647,9.057244,1545,108,78 dB,40.8,4950,10.4,59,Active,2023-03-03,31,6,234,99.87,30,71,UrbanTech,v2.1,0.49,0.0064,23.56,0,0,1377,2024-04-27,16:03:45
D0741,Parking Sensor,2024-09-15,L0914,New York,Manhattan,-65.028113,127.682411,981,108,85 dB,46.44,4950,36.9,45,Inactive,2023-03-03,7,8,234,91.36,0,63,DeviceCorp,v2.0,0.35,0.0072,23.77,0,0,125,2024-04-14,12:03:53
D0742,Parking Sensor,2022-09-24,L0636,Los Angeles,Hollywood,59.160077,139.26532,981,108,63 dB,1.4,4950,9.4,65,Under Maintenance,2023-08-22,22,3,234,99.85,34,63,UrbanTech,v1.2,0.23,0.0061,37.69,0,405.46,1199,2024-12-03,18:27:11
D0743,Traffic Light,2021-04-18,L0214,New York,Manhattan,65.290831,60.163589,1623,108,54 dB,44.73,4950,26.1,65,Active,2023-03-03,2,3,234,99.95,30,86,DeviceCorp,v1.2,0.43,0.0058,16.3,0,0,602,2024-11-24,01:54:39
D0744,Traffic Light,2024-07-05,L0588,Seattle,Pioneer Square,36.673729,153.764103,1513,108,52 dB,46.5,4950,24.2,29,Under Maintenance,2023-12-27,43,1,234,94.03,30,16,DeviceCorp,v2.0,0.12,0.0021,41.83,0,489.97,603,2024-10-10,18:35:37
D0745,Smart Meter,2020-04-23,L0302,Chicago,Lincoln Park,29.344519,-90.899365,981,287,55 dB,17.53,1743,3.1,85,Active,2023-03-03,0,8,234,98.16,30,63,DeviceCorp,v1.1,0.15,0.0022,14.98,0,0,1927,2024-11-28,23:32:02
D0746,Public WiFi,2023-02-03,L0932,Chicago,Lincoln Park,-59.667154,40.173508,981,108,64 dB,41.25,4950,8.9,62,Under Maintenance,2024-10-23,18,8,365,96.39,30,63,UrbanTech,v1.2,0.21,0.0063,20.59,220.85,328.65,550,2024-09-20,21:09:21
D0747,Public WiFi,2022-02-08,L0346,San Francisco,Financial District,-33.980166,-152.885735,981,108,99 dB,38.84,4950,26.6,90,Under Maintenance,2024-07-31,48,7,398,98.94,30,63,UrbanTech,v2.0,0.29,0.0093,43.99,337.16,384.17,1167,2024-09-30,23:37:20
D0748,Public WiFi,2023-12-31,L0974,Houston,Midtown,66.419196,122.39632,981,108,64 dB,26.62,4950,-5.3,44,Active,2023-03-03,37,3,187,90.51,30,63,DeviceCorp,v1.0,0.14,0.0031,40.91,124.5,0,1839,2024-11-15,14:30:43
D0749,Public WiFi,2021-04-05,L0070,Chicago,The Loop,-47.027898,-113.355527,981,108,80 dB,36.73,4950,0.3,44,Active,2023-03-03,42,1,196,91.89,30,63,SmartIoT,v1.1,0.48,0.0018,23.07,298.9,0,1373,2024-09-09,09:17:32
D0750,Pollution Sensor,2020-01-24,L0791,San Francisco,Mission District,11.661353,64.350665,981,89,87 dB,27.3,4950,-0.2,52,Active,2023-03-03,44,10,234,96.67,30,63,DeviceCorp,v1.1,0.41,0.0031,45.44,0,0,1685,2024-04-03,21:41:47
D0751,Smart Meter,2021-11-08,L0649,Seattle,Capitol Hill,85.580892,171.127213,981,268,56 dB,11.02,226,1.6,29,Inactive,2023-03-03,36,7,234,92.84,30,63,SmartIoT,v1.1,0.45,0.0033,21.99,0,0,1850,2024-10-08,22:19:56
D0752,Public WiFi,2022-11-28,L0469,Los Angeles,Hollywood,-34.186348,136.739015,981,108,80 dB,14.04,4950,4.9,54,Inactive,2023-03-03,11,1,251,91.82,30,63,DeviceCorp,v2.0,0.24,0.0034,48.73,960.78,0,1631,2024-10-05,18:31:15
D0753,Smart Meter,2023-07-08,L0404,Miami,South Beach,19.631278,-58.5594,981,33,91 dB,4.66,8276,29.2,63,Under Maintenance,2024-07-03,22,3,234,95.97,30,63,UrbanTech,v1.2,0.17,0.005,19.03,0,143.87,977,2024-11-21,10:01:07
D0754,Smart Meter,2022-05-22,L0043,Miami,South Beach,0.372861,178.466643,981,281,58 dB,7.74,6312,-6.5,87,Inactive,2023-03-03,32,7,234,97.21,30,63,GreenTech,v1.0,0.11,0.0025,49.67,0,0,509,2024-01-12,05:00:56
D0755,Public WiFi,2020-08-17,L0868,New York,Brooklyn,-29.407744,9.843987,981,108,61 dB,31.55,4950,37.7,72,Inactive,2023-03-03,3,8,91,99.31,30,63,UrbanTech,v1.2,0.5,0.0026,39.05,789.85,0,230,2024-03-28,16:18:05
D0756,Smart Meter,2022-11-22,L0869,Los Angeles,Downtown,-49.400217,31.394601,981,193,63 dB,11.88,3888,39.3,89,Active,2023-03-03,8,7,234,98.52,30,63,UrbanTech,v1.0,0.29,0.0067,38.25,0,0,324,2024-03-23,05:00:12
D0757,Smart Meter,2023-03-19,L0360,Los Angeles,Downtown,-31.494281,-48.497411,981,35,70 dB,36.48,1882,36.9,49,Active,2023-03-03,12,0,234,98.72,30,63,UrbanTech,v1.0,0.28,0.0021,22.37,0,0,1762,2024-05-20,07:52:20
D0758,Pollution Sensor,2024-07-14,L0944,Chicago,Lincoln Park,23.442561,-43.674874,981,124,91 dB,31.64,4950,36.4,87,Active,2023-03-03,11,3,234,95.09,30,63,DeviceCorp,v2.0,0.2,0.003,19.24,0,0,320,2024-11-20,23:16:13
D0759,Smart Meter,2023-07-07,L0964,Houston,Downtown,52.897496,81.975949,981,286,56 dB,45.64,632,31.6,31,Under Maintenance,2024-04-13,29,1,234,92.5,30,63,SmartIoT,v1.0,0.14,0.0033,28.69,0,443.31,1122,2024-11-03,21:12:04
D0760,Smart Meter,2021-03-28,L0208,New York,Brooklyn,27.008941,-117.584405,981,93,56 dB,23.04,7279,11.2,32,Active,2023-03-03,15,1,234,97.53,30,63,SmartIoT,v2.1,0.17,0.0057,28.93,0,0,1536,2024-01-08,11:35:33
D0761,Public WiFi,2020-04-23,L0934,New York,Manhattan,17.827536,-97.197071,981,108,65 dB,14.1,4950,29.9,61,Under Maintenance,2023-01-25,50,0,212,91.06,30,63,UrbanTech,v1.0,0.22,0.0047,21.73,337,489.94,728,2024-09-05,15:04:19
D0762,Traffic Light,2022-07-01,L0009,Miami,South Beach,7.760758,161.615312,1883,108,66 dB,16.83,4950,4.7,42,Inactive,2023-03-03,10,0,234,93.69,30,68,DeviceCorp,v2.1,0.25,0.0097,13.05,0,0,1541,2024-01-10,23:58:17
D0763,Parking Sensor,2022-03-03,L0988,Los Angeles,Downtown,-62.0367,-86.799976,981,108,78 dB,38.04,4950,24,61,Inactive,2023-03-03,34,7,234,96.22,24,63,GreenTech,v1.1,0.32,0.0011,31.55,0,0,1940,2024-04-01,14:59:23
D0764,Pollution Sensor,2023-12-23,L0083,Seattle,Pioneer Square,11.369229,25.702254,981,117,89 dB,41.31,4950,20.7,55,Active,2023-03-03,11,5,234,94.49,30,63,SmartIoT,v1.0,0.41,0.0057,49.67,0,0,1959,2024-09-20,11:09:39
D0765,Smart Meter,2020-06-01,L0781,Seattle,Pioneer Square,78.305015,46.25646,981,232,68 dB,29.67,7951,33.7,92,Active,2023-03-03,43,3,234,93.85,30,63,SmartIoT,v2.0,0.35,0.0091,45.2,0,0,184,2024-10-06,23:22:28
D0766,Traffic Light,2022-02-27,L0536,Houston,Downtown,-38.530355,-177.40744,1622,108,56 dB,28.86,4950,0.1,28,Inactive,2023-03-03,42,5,234,94.52,30,75,DeviceCorp,v1.0,0.29,0.006,45.71,0,0,1987,2024-11-28,23:56:17
D0767,Parking Sensor,2020-12-19,L0440,Houston,Midtown,-37.819816,-155.716663,981,108,60 dB,31.97,4950,37.8,99,Inactive,2023-03-03,28,8,234,92.43,31,63,SmartIoT,v1.0,0.2,0.0089,18.02,0,0,834,2024-12-05,17:07:45
D0768,Pollution Sensor,2022-09-11,L0185,Chicago,Lincoln Park,9.193875,80.384589,981,219,75 dB,46.63,4950,4.8,59,Inactive,2023-03-03,40,10,234,96.11,30,63,GreenTech,v1.0,0.15,0.0093,39.89,0,0,1864,2024-06-03,02:27:53
D0769,Traffic Light,2022-12-02,L0212,Chicago,Lincoln Park,45.477049,122.317644,1260,108,88 dB,27.03,4950,21.5,62,Active,2023-03-03,0,9,234,93.31,30,52,UrbanTech,v2.1,0.31,0.0045,40.46,0,0,994,2024-04-29,01:23:09
D0770,Parking Sensor,2022-08-06,L0368,Seattle,Pioneer Square,48.328066,-18.641606,981,108,74 dB,13.99,4950,35.3,98,Active,2023-03-03,4,7,234,92.17,10,63,SmartIoT,v1.2,0.25,0.0017,15.73,0,0,113,2024-02-14,13:09:04
D0771,Pollution Sensor,2024-06-24,L0436,New York,Manhattan,82.28742,125.16924,981,9,92 dB,19.47,4950,-5.4,75,Under Maintenance,2024-03-04,26,7,234,94.1,30,63,SmartIoT,v1.2,0.32,0.0013,26.96,0,364.54,232,2024-06-05,12:05:30
D0772,Parking Sensor,2022-12-23,L0935,Los Angeles,Hollywood,59.34509,115.210913,981,108,93 dB,23.71,4950,13.6,40,Inactive,2023-03-03,23,7,234,93.38,45,63,DeviceCorp,v2.1,0.12,0.0025,35.39,0,0,151,2024-08-05,01:17:16
D0773,Public WiFi,2020-10-14,L0042,Miami,Brickell,-32.340273,53.744497,981,108,73 dB,25.61,4950,-3.6,72,Active,2023-03-03,27,9,498,96.85,30,63,UrbanTech,v2.0,0.26,0.0092,13.14,487.33,0,306,2024-08-19,12:36:18
D0774,Smart Meter,2022-07-08,L0055,Seattle,Pioneer Square,59.184125,-3.882634,981,196,98 dB,4.6,838,3.3,74,Under Maintenance,2024-12-10,24,5,234,98.26,30,63,UrbanTech,v1.0,0.19,0.0043,14.41,0,271.01,701,2024-05-15,23:53:13
D0775,Public WiFi,2020-11-08,L0159,Seattle,Pioneer Square,62.883193,4.037114,981,108,92 dB,48.15,4950,-4.1,25,Under Maintenance,2023-02-24,11,3,89,92.79,30,63,GreenTech,v2.1,0.26,0.0068,49.21,544.73,418.01,1424,2024-10-15,02:51:24
D0776,Pollution Sensor,2024-04-15,L0854,Houston,Downtown,20.715464,48.217481,981,152,94 dB,37.96,4950,29.7,76,Active,2023-03-03,20,9,234,90.58,30,63,DeviceCorp,v1.1,0.14,0.0028,23.1,0,0,1616,2024-11-26,09:55:33
D0777,Public WiFi,2020-07-21,L0358,Chicago,Lincoln Park,45.548868,156.55793,981,108,74 dB,31.23,4950,-9.1,50,Under Maintenance,2024-08-10,2,1,96,96.42,30,63,GreenTech,v2.0,0.13,0.0053,39.68,346.3,134.85,119,2024-10-13,23:21:03
D0778,Parking Sensor,2021-12-29,L0411,New York,Manhattan,70.168335,171.744508,981,108,69 dB,33.3,4950,34.9,69,Active,2023-03-03,20,0,234,97.51,3,63,UrbanTech,v1.1,0.25,0.0018,29.46,0,0,1536,2024-04-07,19:37:28
D0779,Traffic Light,2024-10-25,L0861,Miami,Brickell,-79.202432,74.166652,1747,108,56 dB,24.57,4950,32.2,94,Inactive,2023-03-03,6,8,234,98.05,30,42,GreenTech,v2.1,0.47,0.0044,15.45,0,0,657,2024-02-20,11:38:39
D0780,Traffic Light,2023-08-23,L0443,Houston,Downtown,23.953195,100.408176,1580,108,90 dB,44.14,4950,26.2,65,Under Maintenance,2023-11-22,2,1,234,94,30,30,UrbanTech,v1.0,0.16,0.0014,30.86,0,452.14,550,2024-05-31,21:37:08
D0781,Pollution Sensor,2020-10-17,L0343,San Francisco,Financial District,5.40343,-128.502641,981,174,81 dB,36.65,4950,-3.9,52,Active,2023-03-03,24,10,234,97.17,30,63,DeviceCorp,v1.0,0.36,0.0097,32.93,0,0,1400,2024-02-18,13:03:27
D0782,Traffic Light,2022-01-17,L0432,Los Angeles,Downtown,-22.252605,97.976567,103,108,68 dB,9.26,4950,4.1,36,Inactive,2023-03-03,19,2,234,96.31,30,17,UrbanTech,v1.0,0.42,0.0087,17.92,0,0,1364,2024-06-15,09:27:59
D0783,Public WiFi,2020-10-05,L0497,Houston,Downtown,75.642483,-69.272173,981,108,84 dB,23.13,4950,39.7,73,Under Maintenance,2023-12-15,32,1,429,91.52,30,63,UrbanTech,v2.1,0.12,0.0058,16.75,443.66,492.16,205,2024-01-19,07:53:10
D0784,Parking Sensor,2022-03-29,L0598,Chicago,Lincoln Park,-40.720952,-55.698563,981,108,55 dB,5.65,4950,10.5,34,Active,2023-03-03,42,4,234,94.62,19,63,DeviceCorp,v1.2,0.2,0.0088,14.12,0,0,1972,2024-10-05,12:40:11
D0785,Public WiFi,2023-01-15,L0293,Los Angeles,Hollywood,81.446348,155.920782,981,108,97 dB,34.82,4950,7.2,89,Under Maintenance,2023-06-18,30,3,483,96.07,30,63,UrbanTech,v1.2,0.31,0.0066,21.45,860.28,371.93,1413,2024-10-07,06:09:25
D0786,Pollution Sensor,2023-10-10,L0210,Houston,Downtown,-50.526742,101.006747,981,119,95 dB,17.45,4950,39.5,52,Inactive,2023-03-03,34,3,234,92.37,30,63,SmartIoT,v1.0,0.29,0.0037,15.02,0,0,1158,2024-12-07,10:53:51
D0787,Parking Sensor,2021-03-15,L0337,Seattle,Pioneer Square,-51.388092,122.503686,981,108,84 dB,7.78,4950,-1.1,84,Under Maintenance,2023-03-19,26,7,234,90.36,28,63,SmartIoT,v2.1,0.32,0.0078,25.49,0,260.04,962,2024-05-23,19:32:40
D0788,Public WiFi,2020-07-22,L0019,Chicago,The Loop,-23.384002,-10.25802,981,108,96 dB,17.14,4950,13,32,Under Maintenance,2024-08-22,13,7,499,95.56,30,63,GreenTech,v1.2,0.3,0.0093,47.43,866.32,186.67,1356,2024-03-04,14:53:57
D0789,Traffic Light,2021-10-15,L0060,Houston,Midtown,-12.018766,-47.013791,1981,108,78 dB,18.62,4950,15.4,75,Active,2023-03-03,23,0,234,97.33,30,51,UrbanTech,v2.1,0.49,0.0069,24.64,0,0,933,2024-11-13,21:40:57
D0790,Parking Sensor,2022-11-22,L0083,Chicago,Lincoln Park,2.379505,-95.289919,981,108,79 dB,23.12,4950,10.5,27,Under Maintenance,2024-02-13,13,6,234,96.69,0,63,SmartIoT,v1.2,0.3,0.0031,13.72,0,296.07,631,2024-01-06,04:28:35
D0791,Parking Sensor,2022-05-30,L0144,Miami,Brickell,86.044494,-106.007691,981,108,74 dB,35.28,4950,-0.1,59,Under Maintenance,2023-02-12,35,3,234,99.63,19,63,DeviceCorp,v2.0,0.36,0.0051,43.54,0,295.45,1701,2024-10-14,06:01:21
D0792,Public WiFi,2021-05-23,L0050,Seattle,Pioneer Square,-39.540126,131.911798,981,108,70 dB,19.7,4950,13,55,Inactive,2023-03-03,38,3,34,97.7,30,63,UrbanTech,v2.1,0.32,0.0026,12.75,800.26,0,1985,2024-04-17,21:43:44
D0793,Smart Meter,2020-07-31,L0964,Seattle,Capitol Hill,-82.736302,-144.612664,981,21,51 dB,18.49,476,-6.9,62,Inactive,2023-03-03,28,1,234,94.88,30,63,GreenTech,v1.1,0.36,0.0082,14.22,0,0,1898,2024-04-06,08:33:42
D0794,Traffic Light,2021-08-05,L0045,Houston,Downtown,-34.494323,85.77557,1422,108,91 dB,2.62,4950,38.8,61,Under Maintenance,2023-10-18,46,4,234,94.23,30,30,UrbanTech,v1.0,0.45,0.0062,30.49,0,458.56,107,2024-09-19,09:14:23
D0795,Pollution Sensor,2020-12-02,L0607,Los Angeles,Downtown,-88.51713,71.849756,981,213,57 dB,13.69,4950,6.2,36,Active,2023-03-03,37,9,234,92.97,30,63,GreenTech,v2.1,0.44,0.0056,44.58,0,0,134,2024-05-20,15:56:50
D0796,Public WiFi,2021-08-17,L0621,Miami,Brickell,-71.395514,13.962523,981,108,92 dB,37.65,4950,18.6,79,Active,2023-03-03,28,2,199,99.77,30,63,UrbanTech,v1.1,0.13,0.0033,32.76,480.5,0,261,2024-02-06,20:28:01
D0797,Pollution Sensor,2023-02-27,L0328,Chicago,Lincoln Park,32.209133,136.57991,981,258,79 dB,37.72,4950,24.1,72,Active,2023-03-03,12,4,234,92.5,30,63,UrbanTech,v2.1,0.45,0.003,43.52,0,0,861,2024-10-23,20:44:53
D0798,Public WiFi,2021-02-15,L0803,Miami,South Beach,77.925963,140.075147,981,108,86 dB,44.03,4950,13.4,66,Inactive,2023-03-03,32,7,88,98.47,30,63,GreenTech,v2.0,0.45,0.0071,18.81,102.61,0,667,2024-09-16,03:27:00
D0799,Traffic Light,2022-01-26,L0516,Seattle,Capitol Hill,59.664658,-175.659901,654,108,79 dB,23.93,4950,30.1,59,Inactive,2023-03-03,49,1,234,93.14,30,23,SmartIoT,v1.1,0.13,0.009,12.5,0,0,2000,2024-01-28,18:05:05
D0800,Pollution Sensor,2022-01-22,L0389,Houston,Midtown,69.425174,133.491234,981,59,73 dB,32.55,4950,32.2,30,Under Maintenance,2023-02-21,1,6,234,91.6,30,63,UrbanTech,v1.0,0.2,0.0014,42.85,0,416.04,1216,2024-05-10,21:53:37
D0801,Parking Sensor,2023-09-22,L0204,Los Angeles,Downtown,-88.817735,-121.098351,981,108,97 dB,24.44,4950,31.2,90,Active,2023-03-03,13,5,234,95.72,48,63,DeviceCorp,v1.2,0.4,0.0049,26.96,0,0,1289,2024-11-28,23:19:50
D0802,Pollution Sensor,2021-09-18,L0149,San Francisco,Financial District,-79.241564,-57.871502,981,183,58 dB,22.02,4950,5.8,51,Active,2023-03-03,21,0,234,95.22,30,63,UrbanTech,v2.0,0.27,0.009,22.46,0,0,1944,2024-11-12,05:09:48
D0803,Smart Meter,2020-05-04,L0035,Los Angeles,Downtown,-13.366012,-121.209399,981,142,69 dB,18.37,4334,18.7,21,Active,2023-03-03,21,9,234,94.73,30,63,GreenTech,v2.1,0.17,0.007,41.12,0,0,1850,2024-04-10,09:58:55
D0804,Public WiFi,2020-10-13,L0713,Chicago,The Loop,27.995666,-148.315243,981,108,74 dB,2.78,4950,16.7,23,Active,2023-03-03,50,2,382,95.22,30,63,UrbanTech,v1.0,0.28,0.0072,43.44,629.46,0,655,2024-03-31,13:33:39
D0805,Traffic Light,2022-06-30,L0245,San Francisco,Financial District,-15.708902,-17.932419,1463,108,94 dB,5.22,4950,7.1,54,Active,2023-03-03,24,9,234,91.2,30,79,UrbanTech,v1.2,0.46,0.0047,18.08,0,0,911,2024-09-20,01:03:37
D0806,Public WiFi,2021-11-29,L0175,Houston,Midtown,-85.316877,63.67738,981,108,64 dB,22.48,4950,-2.5,25,Under Maintenance,2024-10-26,42,1,9,94.55,30,63,SmartIoT,v1.0,0.21,0.0015,29.69,966.22,365.78,1128,2024-10-20,06:15:58
D0807,Traffic Light,2023-04-16,L0876,Chicago,The Loop,-83.659417,33.143953,769,108,55 dB,4.81,4950,7.4,50,Active,2023-03-03,19,8,234,96.33,30,73,SmartIoT,v1.1,0.45,0.0084,43.69,0,0,526,2024-07-12,11:13:36
D0808,Traffic Light,2022-02-24,L0846,Chicago,Lincoln Park,2.670163,6.938409,1520,108,52 dB,18.92,4950,35.4,39,Under Maintenance,2024-07-24,50,10,234,99.14,30,47,SmartIoT,v2.1,0.13,0.0038,37.67,0,458.88,304,2024-02-12,00:55:14
D0809,Public WiFi,2022-07-19,L0977,Houston,Downtown,-5.779509,19.76801,981,108,99 dB,41.47,4950,-9.5,59,Inactive,2023-03-03,27,7,453,99.63,30,63,GreenTech,v1.2,0.42,0.0034,10.22,640.72,0,1301,2024-02-09,20:51:15
D0810,Public WiFi,2023-03-05,L0060,Houston,Downtown,-50.283938,-81.926783,981,108,89 dB,15.51,4950,21.3,65,Inactive,2023-03-03,41,2,92,94.46,30,63,GreenTech,v2.1,0.45,0.0012,30.5,189.88,0,1578,2024-07-18,17:46:56
D0811,Pollution Sensor,2021-05-03,L0883,New York,Brooklyn,-29.690514,90.008271,981,114,71 dB,14.96,4950,17.9,66,Under Maintenance,2024-03-18,31,1,234,99.67,30,63,UrbanTech,v1.0,0.19,0.0091,13.34,0,355.76,636,2024-05-03,00:45:06
D0812,Parking Sensor,2021-01-17,L0852,Seattle,Pioneer Square,-82.791743,86.931787,981,108,73 dB,34.62,4950,18.3,23,Inactive,2023-03-03,5,4,234,97.7,38,63,GreenTech,v2.1,0.28,0.0036,28.36,0,0,118,2024-08-28,11:31:10
D0813,Traffic Light,2020-09-09,L0254,Chicago,The Loop,78.051777,-137.297734,1099,108,98 dB,25.5,4950,22.6,26,Inactive,2023-03-03,36,2,234,99.23,30,34,UrbanTech,v1.2,0.24,0.0051,27.64,0,0,1314,2024-11-30,21:35:18
D0814,Pollution Sensor,2024-07-31,L0989,San Francisco,Financial District,-81.696286,42.270793,981,49,57 dB,40.36,4950,11.3,77,Inactive,2023-03-03,22,1,234,96.34,30,63,DeviceCorp,v1.0,0.18,0.0083,48.8,0,0,427,2024-05-16,11:00:15
D0815,Public WiFi,2021-07-10,L0186,Seattle,Pioneer Square,-49.482743,-29.296079,981,108,60 dB,23.2,4950,-8.8,61,Active,2023-03-03,4,3,236,99.41,30,63,GreenTech,v2.1,0.47,0.0015,11,115.19,0,254,2024-07-30,00:45:37
D0816,Traffic Light,2021-07-23,L0043,Chicago,Lincoln Park,83.090645,154.965741,1372,108,96 dB,13.4,4950,10.4,87,Inactive,2023-03-03,29,6,234,94.93,30,53,GreenTech,v2.1,0.3,0.0015,34.05,0,0,1667,2024-10-20,03:07:04
D0817,Traffic Light,2020-08-02,L0335,Los Angeles,Hollywood,69.293229,12.743478,641,108,92 dB,17.27,4950,-6.6,60,Inactive,2023-03-03,13,6,234,98.79,30,86,DeviceCorp,v2.0,0.36,0.0085,31.67,0,0,563,2024-11-06,01:08:33
D0818,Parking Sensor,2023-08-01,L0327,Chicago,Lincoln Park,-3.33293,-74.811096,981,108,62 dB,1.21,4950,19.1,36,Under Maintenance,2023-05-10,48,10,234,96.56,34,63,SmartIoT,v1.2,0.3,0.0021,44.98,0,175.92,111,2024-07-04,18:57:04
D0819,Smart Meter,2023-09-15,L0017,Seattle,Capitol Hill,-69.20093,-7.293009,981,48,83 dB,26.66,7131,34.2,87,Under Maintenance,2024-04-29,37,3,234,94.18,30,63,DeviceCorp,v1.1,0.21,0.0029,34.96,0,131.86,101,2024-02-21,09:52:17
D0820,Parking Sensor,2020-12-25,L0984,Miami,Brickell,38.932924,54.098236,981,108,88 dB,2.29,4950,34.1,25,Active,2023-03-03,44,8,234,91.22,23,63,DeviceCorp,v1.1,0.23,0.0038,22.73,0,0,235,2024-09-20,16:01:01
D0821,Smart Meter,2024-10-24,L0965,Chicago,Lincoln Park,-85.985845,-122.154354,981,128,98 dB,44.19,9032,37.8,81,Under Maintenance,2024-07-13,3,4,234,95.83,30,63,GreenTech,v1.1,0.26,0.0012,47.61,0,397.05,343,2024-11-21,12:25:24
D0822,Traffic Light,2022-06-15,L0075,Seattle,Pioneer Square,-76.087957,102.700442,1534,108,98 dB,28.24,4950,30,79,Inactive,2023-03-03,13,4,234,93.27,30,28,GreenTech,v1.1,0.18,0.0047,49.11,0,0,531,2024-07-21,09:12:55
D0823,Public WiFi,2024-07-15,L0110,Seattle,Capitol Hill,-88.487688,-91.595464,981,108,70 dB,42.69,4950,2.9,89,Inactive,2023-03-03,2,2,424,96.45,30,63,UrbanTech,v1.2,0.42,0.0072,33.98,257.43,0,1276,2024-01-30,18:40:04
